2024-09-04 10:05:15.015186 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:15.017721 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:15.020717 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:15.023718 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:15.026718 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:15.028926 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:15.031924 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:15.035569 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:15.327182 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:15.330927 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:15.334338 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:15.337543 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:15.340872 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:15.344157 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:15.347419 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:15.350308 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:15.352825 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:15.356811 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:15.359829 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:15.362354 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:15.365370 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
